date,ewa,ewc
3/10/2006,13.495844,19.521416
4/10/2006,13.649061,19.638963
5/10/2006,13.815046,19.907645
6/10/2006,13.687366,19.815287
9/10/2006,13.719285,19.798494
10/10/2006,13.770358,19.790097
11/10/2006,13.802279,19.445849
12/10/2006,14.038487,19.655756
13/10/2006,14.044871,19.974817
16/10/2006,14.198088,20.28548
17/10/2006,13.974646,20.050382
18/10/2006,14.108712,20.033591
19/10/2006,14.178935,20.394632
20/10/2006,14.364073,20.41982
23/10/2006,14.313001,20.503784
24/10/2006,14.332153,20.688502
25/10/2006,14.383225,20.957184
26/10/2006,14.683274,21.074733
27/10/2006,14.491754,20.772465
30/10/2006,14.842875,20.831239
31/10/2006,14.696043,21.108317
1/11/2006,14.938635,20.495387
2/11/2006,14.766266,20.822843
3/11/2006,14.842875,20.948789
6/11/2006,15.002476,21.12511
7/11/2006,15.130157,21.074733
8/11/2006,14.881179,21.209074
9/11/2006,14.855644,21.335018
10/11/2006,14.798187,21.158696
13/11/2006,14.657738,21.007563
14/11/2006,14.823723,21.007563
15/11/2006,14.721578,21.183884
16/11/2006,14.619434,21.007563
17/11/2006,14.734347,20.982373
20/11/2006,14.491754,21.066336
21/11/2006,14.708811,21.360208
22/11/2006,14.94502,21.402188
24/11/2006,15.028013,21.645682
27/11/2006,14.849259,21.460962
28/11/2006,15.130157,21.477755
29/11/2006,15.206765,21.612096
30/11/2006,15.334446,21.637286
1/12/2006,15.098236,21.637286
4/12/2006,15.315294,21.880778
5/12/2006,15.238686,21.973138
6/12/2006,15.321678,21.847193
7/12/2006,15.219533,21.805211
8/12/2006,15.028013,21.813607
11/12/2006,15.206765,21.780023
12/12/2006,15.225917,21.704456
13/12/2006,15.34083,21.67087
14/12/2006,15.577039,21.863986
15/12/2006,15.462126,21.536529
18/12/2006,15.417438,21.335018
19/12/2006,15.423822,21.444171
20/12/2006,15.564281,21.592765
21/12/2006,15.477329,21.329542
22/12/2006,15.530838,21.261614
26/12/2006,15.57097,21.134247
27/12/2006,15.825135,21.456908
28/12/2006,15.878643,21.524836
29/12/2006,15.718118,21.499363
3/01/2007,15.744873,21.015372
4/01/2007,15.450576,20.67573
5/01/2007,15.19641,20.607802
8/01/2007,15.283362,20.471945
9/01/2007,15.370313,20.5144
10/01/2007,15.263296,20.488926
11/01/2007,15.403756,20.582328
12/01/2007,15.66461,21.040846
16/01/2007,15.637855,20.75215
17/01/2007,15.624479,20.972918
18/01/2007,15.718118,20.743659
19/01/2007,15.925463,21.032355
22/01/2007,15.892021,20.794605
23/01/2007,16.226449,21.210666
24/01/2007,16.092677,21.422943
25/01/2007,15.731495,21.202175
26/01/2007,15.738184,21.355014
29/01/2007,15.744873,21.210666
30/01/2007,16.019104,21.439925
31/01/2007,15.999038,21.516345
1/02/2007,15.958907,21.669184
2/02/2007,15.958907,21.533328
5/02/2007,16.03248,21.626728
6/02/2007,16.206383,21.694656
7/02/2007,16.313399,21.601256
8/02/2007,16.40704,21.711639
9/02/2007,16.306711,21.677676
12/02/2007,16.206383,21.592765
13/02/2007,16.514057,21.991844
14/02/2007,16.68796,22.0343
15/02/2007,16.674582,22.229594
16/02/2007,16.714713,22.255066
20/02/2007,16.808353,22.093737
21/02/2007,16.801665,22.331486
22/02/2007,16.915371,22.263558
23/02/2007,17.196289,22.314505
26/02/2007,17.223044,22.433379
27/02/2007,16.360219,21.643711
28/02/2007,16.45386,21.643711
1/03/2007,16.386974,21.439925
2/03/2007,16.333466,21.125755
5/03/2007,15.38369,20.904989
6/03/2007,16.340154,21.202175
7/03/2007,16.166252,21.355014
8/03/2007,16.233137,21.456908
9/03/2007,16.21976,21.635219
12/03/2007,16.614385,21.575782
13/03/2007,16.159563,21.108775
14/03/2007,16.433794,21.176703
15/03/2007,16.721402,21.278595
16/03/2007,16.614385,21.227649
19/03/2007,16.861861,21.422943
20/03/2007,17.082585,21.737113
21/03/2007,17.236422,22.102229
22/03/2007,17.303307,22.04279
23/03/2007,17.223044,22.161666
26/03/2007,17.637736,22.229594
27/03/2007,17.263175,22.170157
28/03/2007,17.042453,22.085246
29/03/2007,17.202978,22.263558
30/03/2007,17.356816,22.20412
2/04/2007,17.396947,22.373942
3/04/2007,17.711309,22.628673
4/04/2007,17.858458,22.569236
5/04/2007,17.945409,22.722076
9/04/2007,17.93872,22.756039
10/04/2007,18.293214,22.713584
11/04/2007,18.132689,22.857932
12/04/2007,18.413608,23.146629
13/04/2007,18.433673,23.214557
16/04/2007,18.574134,23.56269
17/04/2007,18.627642,23.426833
