date,ewc,ewa,ige
1,22.95,16.1,31.76
2,22.78,15.98,31.32
3,22.94,16.1,31.81
4,23.05,16.31,32.26
5,23.32,16.29,32.97
6,23.12,16.32,32.54
7,23.01,16.27,32.42
8,23.33,16.56,32.82
9,23.23,16.63,32.69
10,23.54,16.96,33.16
11,23.56,16.87,33.52
12,23.17,16.86,33
13,22.76,16.3,31.86
14,22.2,15.79,30.92
15,22.29,16.08,30.98
16,21.79,15.39,30.14
17,21.47,15.44,29.51
18,21.55,15.31,29.68
19,21.35,14.81,29.36
20,21.37,15.09,29.51
21,21.15,14.84,29.11
22,21.99,15.11,30.23
23,22.2,15.25,30.48
24,22.1,15.15,30.01
25,22.38,14.96,30.72
26,22.38,14.87,30.79
27,22.6,15.11,31.37
28,22.09,14.88,30.25
29,21.86,14.52,30.03
30,21.44,14.36,28.96
31,21.04,14.08,28.97
32,21.32,14.33,28.85
33,21.02,14.19,27.95
34,20.23,13.34,27.06
35,20.41,13.75,27.72
36,21,14.29,28.97
37,20.78,14.11,28.77
38,20.32,13.86,27.76
39,20.29,13.85,27.66
40,20.82,14.23,28.31
41,20.66,14.19,28.46
42,20.78,14.18,29.04
43,21.09,14.22,29.4
44,20.95,14.11,29.39
45,20.93,14.05,29.75
46,21.63,14.86,30.86
47,21.83,14.91,31
48,22.07,15.05,31.52
49,21.89,14.79,31.43
50,21.82,15.03,31.39
51,21.82,15.34,31.04
52,21.64,15.32,30.93
53,21.8,15.34,31.36
54,21.67,15.05,31.28
55,21.38,14.87,30.87
56,21.41,14.45,31.19
57,21,14.41,30.2
58,21.06,14.32,30.22
59,21.42,14.66,30.63
60,21.09,14.59,29.76
61,20.93,14.48,29.21
62,21.29,14.91,30.12
63,21.56,14.88,30.76
64,21.9,14.78,31.33
65,21.6,15.06,31.18
66,21.83,15.29,31.22
67,21.86,15.12,31.75
68,21.98,15.04,31.86
69,22.24,14.99,32.02
70,22.23,14.95,31.8
71,22.16,14.97,31.46
72,22.19,14.88,31.65
73,22.41,15.05,31.52
74,22.43,14.94,31.74
75,22.26,15.01,31.55
76,22.28,14.86,31.38
77,22.01,14.91,30.78
78,22.36,15.21,31.04
79,22.53,15.27,31
80,22.45,15.33,30.76
81,22.4,15.32,31.04
82,22.82,15.55,31.43
83,23.01,15.42,31.61
84,23.04,15.33,31.17
85,22.85,15.03,31.3
86,22.87,15.11,31.5
87,22.94,15.25,31.08
88,22.88,15.56,30.92
89,22.82,15.56,30.52
90,22.83,15.7,30.47
91,23.05,15.81,30.87
92,23.03,16.17,31.16
93,22.63,15.72,30.35
94,22.32,15.5,30.07
95,22.08,15.47,29.44
96,21.54,14.94,28.27
97,21.62,15,28.11
98,21.81,15.17,28.8
99,21.58,15.21,28.12
100,21.6,15.18,28.06
101,21.92,15.44,28.76
102,21.58,15.09,28.23
103,21.41,15.07,27.54
104,21.6,14.99,28.04
105,21.51,14.74,27.8
106,21.59,15,27.74
107,21.81,15.02,28.34
108,22.12,15.31,28.86
109,22.26,15.33,28.81
110,22.08,15.36,28.93
111,22.01,15.54,28.59
112,21.33,15.3,27.46
113,21.47,15.54,27.71
114,21.79,15.8,28.29
115,21.68,15.6,28.3
116,21.66,15.65,28.1
117,21.65,15.73,28.47
118,21.24,15.78,28.07
119,21.49,16.15,28.6
120,21.87,16.16,29.13
121,22.24,16.4,29.82
122,21.96,16.05,29.55
123,21.94,16.26,29.26
124,22.37,16.37,30.01
125,22.4,16.66,29.72
126,22.5,16.58,29.73
127,22.72,16.61,30.2
128,23.04,16.69,30.75
129,23.18,17.16,30.68
130,22.82,16.86,30.33
131,22.89,17.41,29.88
132,23.22,17.18,30.2
133,22.49,17.56,29.89
134,22.88,17.29,29.98
135,23.03,17.41,30.57
136,23.24,17.66,30.9
137,23.18,17.86,30.63
138,23.34,17.47,31.12
139,23.49,17.43,31.48
140,23.28,17.34,31.02
141,23.1,17.12,30.94
142,23.1,17.38,31
143,23.31,17.22,31.37
144,23.1,17.06,30.48
145,23.07,17.24,30.74
146,23.17,16.86,30.82
147,23.52,17.2,31.33
148,23.57,17.57,31.35
149,23.86,17.7,31.4
150,23.64,17.42,31.15
151,23.66,17.86,31.63
152,23.82,17.98,32.49
153,23.85,18.18,32.76
154,23.85,17.81,32.9
155,24.14,18.15,32.88
156,24.25,18.03,33.02
157,24.1,18.16,32.91
158,24.05,18,32.82
159,24.06,17.7,32.82
160,24.02,17.98,32.75
161,23.93,18.01,32.63
162,23.89,18.19,32.9
163,24.12,18.56,33.4
164,23.73,18.38,33.03
165,23.49,18.31,32.06
166,23.62,18.32,32.57
167,23.51,18.52,32.12
168,23.2,18.39,31.87
169,23.12,18.47,31.61
170,22.97,18.53,31.62
171,23.35,18.91,31.99
172,23.43,18.99,32.1
173,23.4,18.75,31.89
174,22.83,18.79,30.66
175,22.43,18.35,29.92
176,22.35,17.97,30.15
177,22.19,18.1,30.24
178,22.24,18.23,29.89
179,22.21,18.07,29.54
180,22.32,18.28,29.31
181,22.86,18.67,30.24
182,22.52,18.63,29.91
183,22.78,18.61,30.19
184,22.51,18.75,29.91
185,22.85,19.06,30.62
186,22.57,19.01,30.49
187,23.06,19.51,31.32
188,23.31,19.31,31.52
189,23.05,18.77,30.92
190,23.23,18.78,31.06
191,23.06,18.79,30.87
192,23.33,19.2,31.54
193,23.42,19.17,31.69
194,23.6,19.11,31.99
195,23.44,19.11,31.96
196,23.55,19.22,31.9
197,23.63,19.48,31.91
198,23.52,19.64,31.69
199,23.65,19.78,32.01
200,23.61,19.63,31.88
201,23.51,19.48,31.51
202,23.98,19.94,32.09
203,24.03,20.2,32.14
204,24.26,20.18,31.94
205,24.29,20.24,31.97
206,24.1,20.38,31.66
207,24.38,20.37,32.02
208,24.3,20.54,32.35
209,24.36,20.96,32.43
210,24.5,21,32.69
211,23.57,19.71,31.36
212,23.57,19.85,31.44
213,23.33,19.75,31.39
214,22.96,19.67,30.75
215,22.7,18.25,30.3
216,23.05,19.68,30.99
217,23.23,19.42,31.37
218,23.35,19.52,31.56
219,23.56,19.5,31.59
220,23.49,20.09,31.52
221,22.94,19.41,30.96
222,23.02,19.82,31.23
223,23.14,20.25,31.31
224,23.08,20.09,31.03
225,23.31,20.46,31.68
226,23.68,20.79,31.84
227,24.11,21.02,32.42
228,24.04,21.12,32.83
229,24.18,21,33.02
230,24.26,21.62,33.15
231,24.19,21.06,33.17
232,24.09,20.73,33.14
233,24.3,20.97,33.42
234,24.23,21.2,33.03
235,24.43,21.26,33.39
236,24.73,21.73,33.56
237,24.66,21.95,33.75
238,24.84,22.08,33.87
239,24.88,22.07,33.82
240,24.83,22.6,34.32
241,25,22.36,34.26
242,25.34,22.78,34.69
243,25.42,22.81,34.92
244,25.83,23.02,35.12
245,25.67,23.1,34.9
246,25.8,23.11,34.75
247,25.48,22.83,34.31
248,25.85,22.96,34.77
249,25.77,22.87,34.83
250,25.67,22.45,34.69
251,26.1,22.96,35.38
252,25.73,22.7,35.29
253,25.96,22.62,35.33
254,25.83,22.34,34.86
255,25.58,22.38,34.92
256,26.04,22.91,35.29
257,26.26,22.83,35.69
258,26.45,23.11,35.82
259,26.81,23.1,36.08
260,26.78,23.03,36.07
261,26.77,23.5,36.04
262,26.48,23.05,35.42
263,26.91,23.47,36.18
